style_code,Core_New
149820,discontinued
149821,discontinued
149822,discontinued
149823,discontinued
149824,discontinued
149825,discontinued
149826,discontinued
149827,core
149828,core
149829,core
149830,core
149831,discontinued
149832,discontinued
149833,discontinued
149834,discontinued
149835,discontinued
149836,discontinued
149837,discontinued
149838,discontinued
149839,discontinued
150642,discontinued
150643,discontinued
150644,discontinued
151328,mp exclusive
151329,mp exclusive
151330,mp exclusive
151331,mp exclusive
151499,discontinued
151500,discontinued
151501,discontinued
151502,discontinued
152149,discontinued
152150,discontinued
152151,discontinued
152152,discontinued
152153,discontinued
152154,discontinued
152155,discontinued
152156,mp exclusive
152157,mp exclusive
152158,mp exclusive
152159,mp exclusive
152618,core
152619,core
152620,discontinued
152621,discontinued
208274,discontinued
208391,discontinued
208392,discontinued
208393,discontinued
208394,discontinued
208396,discontinued
208414,discontinued
209191,discontinued
209192,discontinued
209193,discontinued
209194,discontinued
209195,discontinued
209196,discontinued
209197,mp exclusive
209198,mp exclusive
209199,mp exclusive
209200,mp exclusive
209201,mp exclusive
209202,mp exclusive
209203,continuity
209205,continuity
213102,mp exclusive
213099,mp exclusive
213100,mp exclusive
213101,mp exclusive
213103,mp exclusive
213104,mp exclusive
213105,mp exclusive
212100,discontinued
212101,discontinued
212102,discontinued
212103,discontinued
212104,discontinued
212105,discontinued
212106,discontinued
215729,discontinued
215730,discontinued
215731,discontinued
215732,discontinued
215733,discontinued
215734,discontinued
215735,discontinued
208395,discontinued
208276,discontinued
208403,discontinued
208404,discontinued
208405,discontinued
208406,discontinued
208407,discontinued
208408,discontinued
217621,mp exclusive
217622,mp exclusive
217623,mp exclusive
150174,new launches
150175,new launches
150177,new launches
150178,new launches
150179,new launches
150180,new launches
150181,new launches
150182,new launches
150183,new launches
150184,new launches
150185,new launches
150186,new launches
150187,new launches
150188,new launches
150189,new launches
205697,discontinued
150190,new launches
150191,new launches
150192,new launches
150193,new launches
150194,new launches
150195,new launches
150196,new launches
150197,new launches
150198,new launches
150199,new launches
150200,new launches
150201,new launches
150202,new launches
150203,new launches
150204,new launches
150205,new launches
150206,new launches
150207,new launches
205612,discontinued
205617,discontinued
205630,discontinued
205634,discontinued
209242,discontinued
209253,discontinued
209269,discontinued
150176,discontinued
150173,discontinued
204421,discontinued
204512,discontinued
204521,discontinued
205698,discontinued
205699,discontinued
152744,discontinued
211121,discontinued
211122,discontinued
211124,discontinued
211125,discontinued
211128,discontinued
211129,discontinued
211130,discontinued
211131,discontinued
211132,discontinued
152932,discontinued
152925,discontinued
152926,discontinued
152931,discontinued
152924,discontinued
152933,discontinued
152745,discontinued
151913,discontinued
221591,discontinued
152743,discontinued
204515,discontinued
151306,discontinued
151304,discontinued
152487,discontinued
152486,discontinued
150789,discontinued
152488,discontinued
152483,discontinued
152922,discontinued
151586,discontinued
152923,discontinued
152917,discontinued
204411,discontinued
204412,discontinued
200704,discontinued
150793,discontinued
205194,discontinued
205192,discontinued
200705,discontinued
152921,discontinued
151910,discontinued
152920,discontinued
151909,discontinued
205191,discontinued
205193,discontinued
150792,discontinued
152918,discontinued
151307,discontinued
152916,discontinued
200706,discontinued
151868,discontinued
152484,discontinued
152489,discontinued
152491,discontinued
152490,discontinued
151867,discontinued
204416,discontinued
151305,discontinued
204417,discontinued
